isbsg_project_id,project_prf_year_of_project,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_iterative,process_pmf_development_methodologies_missing,process_pmf_development_methodologies_multifunctional_teams,process_pmf_development_methodologies_scrum,process_pmf_development_methodologies_spiral,process_pmf_development_methodologies_unified_process,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,tech_tf_client_roles_business_logic_or_rule_processing,tech_tf_client_roles_data_entry_and_validation,tech_tf_client_roles_data_retrieval_and_presentation,tech_tf_client_roles_missing,tech_tf_client_roles_run_a_computer_human_interface,tech_tf_client_roles_security,tech_tf_client_roles_web_public_interface,tech_tf_client_roles_web_html_browser,tech_tf_server_roles_database_server,tech_tf_server_roles_file_print_server,tech_tf_server_roles_ftp_server,tech_tf_server_roles_html_web_server,tech_tf_server_roles_mail_server,tech_tf_server_roles_messaging_server,tech_tf_server_roles_missing,tech_tf_server_roles_multi_user_legacy_application,tech_tf_server_roles_object_component_server,tech_tf_server_roles_security_authentication,external_eef_industry_sector_Service_Industry,project_prf_application_group_Business_Application,project_prf_application_group_Mathematically_Intensive_Application,project_prf_application_group_Missing,project_prf_application_group_Real_Time_Application,project_prf_application_group_business_application,project_prf_application_group_missing,project_prf_development_type_Enhancement,project_prf_development_type_New_Development,project_prf_development_type_Re_development,tech_tf_development_platform_MF,tech_tf_development_platform_MR,tech_tf_development_platform_Missing,tech_tf_development_platform_Multi,tech_tf_development_platform_PC,tech_tf_development_platform_Proprietary,tech_tf_language_type_2GL,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_language_type_Missing,functional_size_group_L_1000_2999,functional_size_group_M_100_999,functional_size_group_S_100,project_prf_relative_size_L,project_prf_relative_size_M1,project_prf_relative_size_M2,project_prf_relative_size_Missing,project_prf_relative_size_S,project_prf_relative_size_XS,project_prf_team_size_group_15_20,project_prf_team_size_group_2,project_prf_team_size_group_21_30,project_prf_team_size_group_3_4,project_prf_team_size_group_31_40,project_prf_team_size_group_5_8,project_prf_team_size_group_9_14,project_prf_team_size_group_Missing,project_prf_case_tool_used_Missing,project_prf_case_tool_used_No,project_prf_case_tool_used_Yes,tech_tf_architecture_Client_server,tech_tf_architecture_Missing,tech_tf_architecture_Multi_tier,tech_tf_architecture_Multi_tier_with_web_public_interface,tech_tf_architecture_Stand_alone,tech_tf_architecture_Stand_alone_1,tech_tf_client_server_Don_t_Know,tech_tf_client_server_Missing,tech_tf_client_server_No,tech_tf_client_server_Not_Applicable,tech_tf_client_server_Yes,tech_tf_dbms_used_Missing,tech_tf_dbms_used_No,tech_tf_dbms_used_Yes
26955,2003,community services; municipality,financial transaction process/accounting,RPG,195,810,980,4.8964553,7.11533,23.393532,13.8329735,3.2877574,3.5601385,5.274792,1,0,1.8187842,1.0,,0.09349863,2.0,,22.005905,2.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
19859,2007,food processing,electronic data interchange,Java,645,10204,4481,20.180119,13.324422,17.102684,5.2307477,,17.650034,5.882799,7,2,1.025649,1.0,,,4.0,2.1896434,0.22544894,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
25611,2008,food processing,"document management; job, case, incident, project management",ABAP,273,5833,5541,19.893356,26.197227,,13.877906,1.8119727,10.799623,9.600033,4,2,1.8644044,2.0,,0.5066632,3.0,,21.26038,2.0,1.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True
12301,2012,transport & storage,logistic or supply planning & control; management or performance reporting,Java,140,179,115,2.9837167,3.6269817,,5.1000333,12.520723,12.2780075,3.065991,2,2,1.066185,,3.0,0.19507748,3.0,1.827964,21.281012,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
22450,2002,community services; government,security controls,C,152,19282,12238,46.73876,27.045324,8.987264,20.635086,1.701066,5.7474375,10.693957,3,2,2.168231,2.0,3.0,,4.0,2.4197671,3.2400227,,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
19858,2011,community services; government,missing,PL/I,81,3475,6001,13.112177,29.843277,12.3492985,5.104273,1.5968561,9.620278,9.933274,17,4,1.0452349,2.0,7.0,0.015270425,2.0,4.8965306,18.86529,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13178,2006,community services; government,customer relationship management,Java,177,241,117,3.345636,2.5451214,33.589718,22.064291,6.3490505,3.5115604,4.1075377,10,0,1.0006561,,4.0,0.0061662393,3.0,1.4393754,32.813213,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
31862,2004,community services,catalogue/register of things or events,APPS,316,10283,10210,32.360455,19.882435,,160.67123,1.4211591,5.4772754,21.785116,16,4,3.5496047,6.0,6.0,0.4083247,1.0,7.037232,34.324196,,,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,True
10393,2004,post,logistic or supply planning & control,RPG,145,5109,1945,23.265116,16.465563,18.13324,9.092643,1.3269062,3.4496152,14.05652,9,2,1.8207978,2.0,5.0,0.008257079,,6.3080893,28.507841,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
21796,2001,community services,financial transaction process/accounting,C,1497,23687,32153,19.613255,19.831984,27.23138,127.74323,1.8632214,26.046036,26.413473,11,0,,3.0,6.0,0.31555405,3.0,5.23186,26.096012,1.0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
27771,2009,community services; invoice-handling,financial transaction process/accounting,PL/I,150,149,112,1.6545166,2.106311,27.083345,24.1517,0.99668884,3.0216086,4.512749,13,2,1.0140545,,9.0,1.9943852,4.0,5.5925236,5.043095,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True
26955,2008,surveillance & security,catalogue/register of things or events,APPS,119,2735,3314,15.365938,31.701254,71.2251,5.101973,3.7394686,14.39384,6.3557673,17,3,2.3454196,2.0,6.0,,,3.6940973,0.32738352,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
23909,2007,transport & storage,"customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",Java,209,835,340,5.501873,3.2192945,67.15274,31.94427,3.5662367,6.7356997,4.447851,16,4,1.3721787,5.0,6.0,7.1178155,3.0,7.3511934,3.5193398,0.0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
23909,2009,transport & storage,distribution,RPG,372,9441,16081,17.473513,30.441343,19.259104,19.788517,0.8350289,10.975018,19.6178,17,2,1.8057276,7.0,13.0,0.007480853,,12.729152,29.49203,0.0,1.0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
11966,2006,community services,complex process control; workflow support & management,C++,165,10170,10883,31.300663,30.90107,,5.3358316,4.2663984,7.2873726,4.9704185,13,4,3.009704,6.0,5.0,1.1954166,3.0,8.468402,,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
20382,2010,transport & storage,logistic or supply planning & control,PL/I,227,777,829,2.1233144,2.8444111,11.554935,8.317297,4.942954,7.556338,3.4479926,14,2,1.0019447,,3.0,0.39086786,1.0,3.4141736,20.353794,0.0,0.0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
29462,2007,community services; institutions eg. kindergartens,catalogue/register of things or events; workflow support & management,MS-Navision Properitory Language,200,15532,9682,39.827827,15.371641,37.24565,5.1002955,1.583344,9.974696,8.488488,3,0,1.0473245,1.0,4.0,0.7669021,2.0,3.322405,2.683301,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
29462,2011,community services,missing,RPG,493,3506,7164,5.9545302,11.338632,10.97136,5.143844,1.0986038,24.667416,6.375059,17,0,2.218967,6.0,13.0,0.56330174,8.0,7.712302,29.191814,2.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
22107,2007,transport & storage; wholesale & retail trade,missing,APPS,80,3783,6134,18.539959,23.926924,15.855977,5.100047,,12.100736,6.5309515,14,2,1.6826545,1.0,2.0,1.7745728,3.0,1.4377848,3.132482,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
31862,2005,airport,electronic data interchange,SQL,999,3361,2066,7.770507,3.1713915,,106.24627,3.2296515,14.733921,19.704216,14,4,,1.0,6.0,0.00064034475,4.0,6.646381,2.473684,0.0,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
18492,2004,community services,financial transaction process/accounting,APPS,244,11216,11354,18.573122,20.640564,15.97923,23.998253,6.4816003,11.635254,5.6248646,10,2,1.4532366,1.0,4.0,,2.0,2.462199,34.70631,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
13178,2010,transport & storage; wholesale & retail trade,logistic or supply planning & control,.Net,35,404,111,13.967282,6.6151466,15.343475,5.1001234,1.8181021,6.6423926,4.3229256,6,2,,2.0,6.0,0.23066401,1.0,5.146508,4.069805,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
22347,2004,food processing,online analysis and reporting,RPG,286,18330,15925,40.012157,25.579294,5.2915277,162.88556,1.2194914,2.7683816,22.46717,3,2,2.1906664,2.0,11.0,,3.0,,24.923374,0.0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True
11647,2009,community services; government,stock control & order processing,PL/I,412,9785,3329,21.374947,8.140957,22.870073,18.835802,0.8915042,14.384467,22.044916,17,0,1.0177791,1.0,15.0,0.013323204,2.0,8.26827,32.330193,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True
19858,2006,transport & storage,security controls,PL/I,276,12247,17393,26.361868,48.83812,29.656208,5.1,3.135895,19.241535,6.3026333,4,2,,1.0,2.0,0.16923347,1.0,1.0980258,12.405463,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
25546,2010,transport & storage,auditing management,Java,305,3920,5165,6.4638805,13.44452,,10.601437,,17.58926,3.6901793,10,2,1.0114762,5.0,9.0,1.9627961,8.0,2.6820576,23.907198,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True
17275,2009,food processing,"customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",JavaScript,145,1682,431,6.446802,2.0936787,30.738386,6.0800214,,7.115301,3.6196606,13,2,1.0032809,,,3.2375653,1.0,5.539165,15.364429,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False
13597,2007,community services; government; public administration,catalogue/register of things or events; workflow support & management,APPS,720,3955,9147,9.261981,11.271934,,155.15059,10.078061,4.1448836,13.382024,13,4,,,6.0,0.018722253,3.0,3.7931156,32.41581,2.0,4.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
